	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
0	0.0	-1.638e-10	1.638e-10	-0.0	0.0	-1.638e-10	0.0	1.638e-10	0.0	1.638e-10	1.638e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
1	0.05	-2.953e-11	2.953e-11	-1693193362.6820183	0.05	-2.953e-11	0.0	0.0	21.249882146618727	2.953e-11	0.0	-0.0029530000000000003	0.0	500000.00000000006	0.0	-5.906e-10	0.0	0.22360679774997896	0.0	Memristive
2	0.1	4.966e-11	4.966e-11	2013693113.169553	0.1	4.966e-11	0.0	0.0	21.423236242854482	4.966e-11	0.0	0.004966	0.0	1000000.0000000001	0.0	4.965999999999999e-10	0.0	0.31622776601683794	0.0	Memristive
3	0.15	8.228e-12	8.228e-12	18230432668.935345	0.15	8.228e-12	0.0	0.0	23.626358159251957	8.228e-12	0.0	0.0008227999999999999	0.0	1500000.0	0.0	5.485333333333333e-11	0.0	0.3872983346207417	0.0	Memristive
4	0.2	-1.246e-10	1.246e-10	-1605136436.597111	0.2	-1.246e-10	0.0	0.0	21.196474597141094	1.246e-10	0.0	-0.012459999999999999	0.0	2000000.0000000002	0.0	-6.229999999999999e-10	0.0	0.4472135954999579	0.0	Memristive
5	0.25	5.333e-11	5.333e-11	4687792987.061691	0.25	5.333e-11	0.0	0.0	22.26822773019615	5.333e-11	0.0	0.005332999999999999	0.0	2500000.0	0.0	2.1332e-10	0.0	0.5	0.0	Memristive
6	0.3	7.919e-11	7.919e-11	3788357115.797449	0.3	7.919e-11	0.0	0.0	22.055198283380292	7.919e-11	0.0	0.007918999999999999	0.0	3000000.0	0.0	2.639666666666667e-10	0.0	0.5477225575051661	0.0	Memristive
7	0.35	1.879e-10	1.879e-10	1862692921.7668972	0.35	1.879e-10	0.0	0.0	21.34528908501045	1.879e-10	0.0	0.01879	0.0	3500000.0	0.0	5.368571428571429e-10	0.0	0.5916079783099616	0.0	Memristive
8	0.4	1.725e-10	1.725e-10	2318840579.710145	0.4	1.725e-10	0.0	0.0	21.56433314758298	1.725e-10	0.0	0.01725	0.0	4000000.0000000005	0.0	4.3125e-10	0.0	0.6324555320336759	0.0	Memristive
9	0.45	6.194e-11	6.194e-11	7265095253.471102	0.45	6.194e-11	0.0	0.0	22.70634724516572	6.194e-11	0.0	0.006193999999999998	0.0	4500000.0	0.0	1.3764444444444444e-10	0.0	0.6708203932499369	0.0	Memristive
10	0.5	2.921e-10	2.921e-10	1711742553.9198904	0.5	2.921e-10	0.0	0.0	21.260777725974908	2.921e-10	0.0	0.029209999999999996	0.0	5000000.0	0.0	5.842e-10	0.0	0.7071067811865476	0.0	Memristive
11	0.5	2.797e-10	2.797e-10	1787629603.1462283	0.5	2.797e-10	0.0	0.0	21.304156335160688	2.797e-10	0.0	0.027969999999999995	0.0	5000000.0	0.0	5.594e-10	0.0	0.7071067811865476	0.0	Memristive
12	0.45	4.17e-10	4.17e-10	1079136690.647482	0.45	4.17e-10	0.0	0.0	20.799427197911974	4.17e-10	0.0	0.0417	0.0	4500000.0	0.0	9.266666666666667e-10	0.0	0.6708203932499369	0.0	Memristive
13	0.4	2.519e-10	2.519e-10	1587931718.936086	0.4	2.519e-10	0.0	0.0	21.18569820069583	2.519e-10	0.0	0.02519	0.0	4000000.0000000005	0.0	6.297499999999999e-10	0.0	0.6324555320336759	0.0	Memristive
14	0.35	1.463e-10	1.463e-10	2392344497.6076555	0.35	1.463e-10	0.0	0.0	21.595539683403793	1.463e-10	0.0	0.014629999999999997	0.0	3500000.0	0.0	4.1800000000000006e-10	0.0	0.5916079783099616	0.0	Memristive
15	0.3	-2.139e-11	2.139e-11	-14025245441.79523	0.3	-2.139e-11	0.0	0.0	23.3641247885083	2.139e-11	0.0	-0.002139	0.0	3000000.0	0.0	-7.13e-11	0.0	0.5477225575051661	0.0	Memristive
16	0.25	7.739e-11	7.739e-11	3230391523.4526424	0.25	7.739e-11	0.0	0.0	21.89586918152629	7.739e-11	0.0	0.0077389999999999985	0.0	2500000.0	0.0	3.0956e-10	0.0	0.5	0.0	Memristive
17	0.2	4.861e-11	4.861e-11	4114379757.2515945	0.2	4.861e-11	0.0	0.0	22.137753932437082	4.861e-11	0.0	0.004861	0.0	2000000.0000000002	0.0	2.4305e-10	0.0	0.4472135954999579	0.0	Memristive
18	0.15	1.788e-10	1.788e-10	838926174.4966443	0.15	1.788e-10	0.0	0.0	20.547633268303255	1.788e-10	0.0	0.017879999999999997	0.0	1500000.0	0.0	1.192e-09	0.0	0.3872983346207417	0.0	Memristive
19	0.1	-5.096e-12	5.096e-12	-19623233908.948196	0.1	-5.096e-12	0.0	0.0	23.69998010466464	5.096e-12	0.0	-0.0005095999999999999	0.0	1000000.0000000001	0.0	-5.096e-11	0.0	0.31622776601683794	0.0	Memristive
20	0.05	-5.718e-11	5.718e-11	-874431619.4473592	0.05	-5.718e-11	0.0	0.0	20.58908465548039	5.718e-11	0.0	-0.005718	0.0	500000.00000000006	0.0	-1.1436e-09	0.0	0.22360679774997896	0.0	Memristive
21	0.0	-2.882e-12	2.882e-12	-0.0	0.0	-2.882e-12	0.0	2.882e-12	0.0	2.882e-12	2.882e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Memristive
22	-0.05	8.558e-11	8.558e-11	-584248656.2280906	0.0	0.0	0.05	8.558e-11	20.185837231385886	0.0	8.558e-11	0.0	0.008558000000000001	0.0	500000.00000000006	0.0	1.7116e-09	0.0	0.22360679774997896	Memristive
23	-0.1	-2.632e-11	2.632e-11	3799392097.264438	0.0	0.0	0.1	2.632e-11	22.058106916477385	0.0	2.632e-11	0.0	0.002632	0.0	1000000.0000000001	0.0	2.632e-10	0.0	0.31622776601683794	Memristive
24	-0.15	-1.65e-10	1.65e-10	909090909.090909	0.0	0.0	0.15	1.65e-10	20.627955657142085	0.0	1.65e-10	0.0	0.0165	0.0	1500000.0	0.0	1.1000000000000001e-09	0.0	0.3872983346207417	Memristive
25	-0.2	-5.192e-11	5.192e-11	3852080123.2665644	0.0	0.0	0.2	5.192e-11	22.071879131098612	0.0	5.192e-11	0.0	0.005192	0.0	2000000.0000000002	0.0	2.5959999999999996e-10	0.0	0.4472135954999579	Memristive
26	-0.25	5.488e-11	5.488e-11	-4555393586.005831	0.0	0.0	0.25	5.488e-11	22.239577771391026	0.0	5.488e-11	0.0	0.005488	0.0	2500000.0	0.0	2.1952e-10	0.0	0.5	Memristive
27	-0.3	4.594e-11	4.594e-11	-6530256856.7697	0.0	0.0	0.3	4.594e-11	22.59971211434166	0.0	4.594e-11	0.0	0.004593999999999999	0.0	3000000.0	0.0	1.5313333333333334e-10	0.0	0.5477225575051661	Memristive
28	-0.35	-7.423e-11	7.423e-11	4715074767.614172	0.0	0.0	0.35	7.423e-11	22.274030610300414	0.0	7.423e-11	0.0	0.007423	0.0	3500000.0	0.0	2.120857142857143e-10	0.0	0.5916079783099616	Memristive
29	-0.4	-1.448e-10	1.448e-10	2762430939.2265196	0.0	0.0	0.4	1.448e-10	21.739376904102777	0.0	1.448e-10	0.0	0.01448	0.0	4000000.0000000005	0.0	3.62e-10	0.0	0.6324555320336759	Memristive
30	-0.45	-2.367e-10	2.367e-10	1901140684.4106462	0.0	0.0	0.45	2.367e-10	21.36571990319084	0.0	2.367e-10	0.0	0.023669999999999997	0.0	4500000.0	0.0	5.26e-10	0.0	0.6708203932499369	Memristive
31	-0.5	-2.981e-10	2.981e-10	1677289500.1677291	0.0	0.0	0.5	2.981e-10	21.24044493468458	0.0	2.981e-10	0.0	0.029809999999999996	0.0	5000000.0	0.0	5.962e-10	0.0	0.7071067811865476	Memristive
