	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
22	1.1	3.412e-10	3.412e-10	3223915592.0281363	1.1	3.412e-10	0.0	0.0	21.89386248011535	3.412e-10	0.0	0.034120000000000004	0.0	11000000.000000002	0.0	3.101818181818182e-10	0.0	1.0488088481701516	0.0	Memristive
23	1.15	4.348e-10	4.348e-10	2644894204.2318306	1.15	4.348e-10	0.0	0.0	21.695896903056653	4.348e-10	0.0	0.04348	0.0	11500000.0	0.0	3.7808695652173917e-10	0.0	1.0723805294763609	0.0	Memristive
24	1.2	5.107e-10	5.107e-10	2349716075.974153	1.2	5.107e-10	0.0	0.0	21.577560339068903	5.107e-10	0.0	0.051070000000000004	0.0	12000000.0	0.0	4.2558333333333334e-10	0.0	1.0954451150103321	0.0	Memristive
25	1.25	6.083e-10	6.083e-10	2054907118.1982577	1.25	6.083e-10	0.0	0.0	21.4434964859161	6.083e-10	0.0	0.060829999999999995	0.0	12500000.0	0.0	4.8664e-10	0.0	1.118033988749895	0.0	Memristive
26	1.3	6.806e-10	6.806e-10	1910079341.757273	1.3	6.806e-10	0.0	0.0	21.370410618329235	6.806e-10	0.0	0.06806000000000001	0.0	13000000.000000002	0.0	5.235384615384615e-10	0.0	1.140175425099138	0.0	Memristive
27	1.35	8.139e-10	8.139e-10	1658680427.5709548	1.35	8.139e-10	0.0	0.0	21.22928820004589	8.139e-10	0.0	0.08139000000000002	0.0	13500000.000000002	0.0	6.028888888888888e-10	0.0	1.161895003862225	0.0	Memristive
28	1.4	9.311e-10	9.311e-10	1503597894.962947	1.4	9.311e-10	0.0	0.0	21.131126669655277	9.311e-10	0.0	0.09311000000000001	0.0	14000000.0	0.0	6.650714285714286e-10	0.0	1.1832159566199232	0.0	Memristive
29	1.45	8.567e-10	8.567e-10	1692541146.2589002	1.45	8.567e-10	0.0	0.0	21.24949687339103	8.567e-10	0.0	0.08567000000000001	0.0	14500000.0	0.0	5.908275862068966e-10	0.0	1.2041594578792296	0.0	Memristive
30	1.5	1.078e-09	1.078e-09	1391465677.1799629	1.5	1.078e-09	0.0	0.0	21.05362347256777	1.078e-09	0.0	0.10779999999999999	0.0	15000000.0	0.0	7.186666666666667e-10	0.0	1.224744871391589	0.0	Memristive
31	1.55	1.149e-09	1.149e-09	1348999129.677981	1.55	1.149e-09	0.0	0.0	21.022628769010947	1.149e-09	0.0	0.1149	0.0	15500000.000000002	0.0	7.412903225806452e-10	0.0	1.2449899597988732	0.0	Memristive
32	1.6	1.314e-09	1.314e-09	1217656012.1765602	1.6	1.314e-09	0.0	0.0	20.920193546129727	1.314e-09	0.0	0.1314	0.0	16000000.000000002	0.0	8.212499999999999e-10	0.0	1.2649110640673518	0.0	Memristive
33	1.65	1.333e-09	1.333e-09	1237809452.3630908	1.65	1.333e-09	0.0	0.0	20.93660908366233	1.333e-09	0.0	0.13329999999999997	0.0	16500000.0	0.0	8.07878787878788e-10	0.0	1.284523257866513	0.0	Memristive
34	1.7	1.493e-09	1.493e-09	1138647019.4239786	1.7	1.493e-09	0.0	0.0	20.85310656945153	1.493e-09	0.0	0.14929999999999996	0.0	17000000.0	0.0	8.78235294117647e-10	0.0	1.3038404810405297	0.0	Memristive
35	1.75	1.665e-09	1.665e-09	1051051051.0510511	1.75	1.665e-09	0.0	0.0	20.773056501449428	1.665e-09	0.0	0.16649999999999995	0.0	17500000.0	0.0	9.514285714285715e-10	0.0	1.3228756555322954	0.0	Memristive
36	1.8	1.891e-09	1.891e-09	951877313.5906926	1.8	1.891e-09	0.0	0.0	20.67394671217221	1.891e-09	0.0	0.18910000000000002	0.0	18000000.0	0.0	1.0505555555555557e-09	0.0	1.3416407864998738	0.0	Memristive
37	1.85	2.097e-09	2.097e-09	882212684.7877921	1.85	2.097e-09	0.0	0.0	20.597943724116863	2.097e-09	0.0	0.20969999999999997	0.0	18500000.0	0.0	1.1335135135135134e-09	0.0	1.3601470508735443	0.0	Memristive
38	1.9	2.123e-09	2.123e-09	894959962.3174753	1.9	2.123e-09	0.0	0.0	20.612289540397686	2.123e-09	0.0	0.21229999999999996	0.0	19000000.0	0.0	1.1173684210526316e-09	0.0	1.378404875209022	0.0	Memristive
39	1.95	2.62e-09	2.62e-09	744274809.1603053	1.95	2.62e-09	0.0	0.0	20.42792089174906	2.62e-09	0.0	0.262	0.0	19500000.0	0.0	1.3435897435897436e-09	0.0	1.396424004376894	0.0	Memristive
40	2.0	3.777e-09	3.777e-09	529520783.6907599	2.0	3.777e-09	0.0	0.0	20.087482973776037	3.777e-09	0.0	0.3777	0.0	20000000.0	0.0	1.8885e-09	0.0	1.4142135623730951	0.0	Memristive
41	2.05	3.376e-09	3.376e-09	607227488.1516588	2.05	3.376e-09	0.0	0.0	20.224414053363017	3.376e-09	0.0	0.33759999999999996	0.0	20500000.0	0.0	1.6468292682926831e-09	0.0	1.4317821063276353	0.0	Memristive
42	2.1	3.472e-09	3.472e-09	604838709.6774194	2.1	3.472e-09	0.0	0.0	20.220472384877684	3.472e-09	0.0	0.3472	0.0	21000000.0	0.0	1.6533333333333332e-09	0.0	1.449137674618944	0.0	Memristive
43	2.15	3.96e-09	3.96e-09	542929292.9292928	2.15	3.96e-09	0.0	0.0	20.112489653819594	3.96e-09	0.0	0.396	0.0	21500000.0	0.0	1.8418604651162792e-09	0.0	1.466287829861518	0.0	Memristive
44	2.2	4.957e-09	4.957e-09	443816824.69235426	2.2	4.957e-09	0.0	0.0	19.910922478272244	4.957e-09	0.0	0.4957	0.0	22000000.000000004	0.0	2.2531818181818182e-09	0.0	1.4832396974191326	0.0	Memristive
45	2.25	5.399e-09	5.399e-09	416743841.4521208	2.25	5.399e-09	0.0	0.0	19.84798230192659	5.399e-09	0.0	0.5398999999999999	0.0	22500000.0	0.0	2.3995555555555557e-09	0.0	1.5	0.0	Memristive
46	2.3	5.663e-09	5.663e-09	406145152.7458944	2.3	5.663e-09	0.0	0.0	19.822221172749845	5.663e-09	0.0	0.5663	0.0	23000000.0	0.0	2.4621739130434785e-09	0.0	1.51657508881031	0.0	Memristive
47	2.35	7.274e-09	7.274e-09	323068463.0189717	2.35	7.274e-09	0.0	0.0	19.593374818537683	7.274e-09	0.0	0.7274000000000002	0.0	23500000.000000004	0.0	3.0953191489361702e-09	0.0	1.5329709716755893	0.0	Memristive
48	2.4	9.832e-09	9.832e-09	244100895.03661513	2.4	9.832e-09	0.0	0.0	19.31309220203658	9.832e-09	0.0	0.9832000000000001	0.0	24000000.0	0.0	4.096666666666667e-09	0.0	1.5491933384829668	0.0	Memristive
49	2.45	9.283e-09	9.283e-09	263923300.6571152	2.45	9.283e-09	0.0	0.0	19.391169091085253	9.283e-09	0.0	0.9282999999999999	0.0	24500000.000000004	0.0	3.788979591836734e-09	0.0	1.5652475842498528	0.0	Memristive
50	2.5	8.633e-09	8.633e-09	289586470.5200973	2.5	8.633e-09	0.0	0.0	19.48396449956718	8.633e-09	0.0	0.8632999999999998	0.0	25000000.0	0.0	3.4532e-09	0.0	1.5811388300841898	0.0	Memristive
51	2.5	7.701e-09	7.701e-09	324633164.5240877	2.5	7.701e-09	0.0	0.0	19.598206378263452	7.701e-09	0.0	0.7701	0.0	25000000.0	0.0	3.0804000000000002e-09	0.0	1.5811388300841898	0.0	Memristive
52	2.45	8.827e-09	8.827e-09	277557494.05233943	2.45	8.827e-09	0.0	0.0	19.44153865546495	8.827e-09	0.0	0.8827	0.0	24500000.000000004	0.0	3.602857142857143e-09	0.0	1.5652475842498528	0.0	Memristive
