	voltage	current	abs_current	resistance	voltage_ps	current_ps	voltage_ng	current_ng	log_Resistance	abs_Current_ps	abs_Current_ng	current_Density_ps	current_Density_ng	electric_field_ps	electric_field_ng	inverse_resistance_ps	inverse_resistance_ng	sqrt_Voltage_ps	sqrt_Voltage_ng	classification
170	0.35	2.121e-09	2.121e-09	165016501.650165	0.35	2.121e-09	0.0	0.0	18.921556036865187	2.121e-09	0.0	0.2121	0.0	3500000.0	0.0	6.06e-09	0.0	0.5916079783099616	0.0	Memristive
171	0.4	2.809e-09	2.809e-09	142399430.4022784	0.4	2.809e-09	0.0	0.0	18.77414655695015	2.809e-09	0.0	0.28090000000000004	0.0	4000000.0000000005	0.0	7.0225e-09	0.0	0.6324555320336759	0.0	Memristive
172	0.45	3.715e-09	3.715e-09	121130551.81695828	0.45	3.715e-09	0.0	0.0	18.612379462558916	3.715e-09	0.0	0.37149999999999994	0.0	4500000.0	0.0	8.255555555555556e-09	0.0	0.6708203932499369	0.0	Memristive
173	0.5	5.496e-09	5.496e-09	90975254.73071325	0.5	5.496e-09	0.0	0.0	18.326098101466417	5.496e-09	0.0	0.5496	0.0	5000000.0	0.0	1.0992e-08	0.0	0.7071067811865476	0.0	Memristive
174	0.55	6.669e-09	6.669e-09	82471135.10271406	0.55	6.669e-09	0.0	0.0	18.227958912540622	6.669e-09	0.0	0.6669	0.0	5500000.000000001	0.0	1.2125454545454544e-08	0.0	0.7416198487095663	0.0	Memristive
175	0.6	8.481e-09	8.481e-09	70746374.24831977	0.6	8.481e-09	0.0	0.0	18.074611845800856	8.481e-09	0.0	0.8480999999999999	0.0	6000000.0	0.0	1.4135e-08	0.0	0.7745966692414834	0.0	Memristive
176	0.65	1.005e-08	1.005e-08	64676616.91542289	0.65	1.005e-08	0.0	0.0	17.98491028634887	1.005e-08	0.0	1.0050000000000001	0.0	6500000.000000001	0.0	1.546153846153846e-08	0.0	0.806225774829855	0.0	Memristive
177	0.7	1.23e-08	1.23e-08	56910569.10569105	0.7	1.23e-08	0.0	0.0	17.856991630629306	1.23e-08	0.0	1.23	0.0	7000000.0	0.0	1.7571428571428573e-08	0.0	0.8366600265340756	0.0	Memristive
178	0.75	1.495e-08	1.495e-08	50167224.080267556	0.75	1.495e-08	0.0	0.0	17.730872464657935	1.495e-08	0.0	1.4949999999999999	0.0	7500000.0	0.0	1.9933333333333336e-08	0.0	0.8660254037844386	0.0	Memristive
179	0.8	1.632e-08	1.632e-08	49019607.84313726	0.8	1.632e-08	0.0	0.0	17.70773093609624	1.632e-08	0.0	1.632	0.0	8000000.000000001	0.0	2.0399999999999997e-08	0.0	0.8944271909999159	0.0	Memristive
180	0.85	1.929e-08	1.929e-08	44064282.01140487	0.85	1.929e-08	0.0	0.0	17.601160080531	1.929e-08	0.0	1.929	0.0	8500000.0	0.0	2.2694117647058824e-08	0.0	0.9219544457292888	0.0	Memristive
181	0.9	2.312e-08	2.312e-08	38927335.64013841	0.9	2.312e-08	0.0	0.0	17.477207277484407	2.312e-08	0.0	2.312	0.0	9000000.0	0.0	2.568888888888889e-08	0.0	0.9486832980505138	0.0	Memristive
182	0.95	2.452e-08	2.452e-08	38743882.54486133	0.95	2.452e-08	0.0	0.0	17.47248343149085	2.452e-08	0.0	2.4520000000000004	0.0	9500000.0	0.0	2.5810526315789477e-08	0.0	0.9746794344808963	0.0	Memristive
183	1.0	2.932e-08	2.932e-08	34106412.00545703	1.0	2.932e-08	0.0	0.0	17.34499595992796	2.932e-08	0.0	2.9319999999999995	0.0	10000000.0	0.0	2.932e-08	0.0	1.0	0.0	Memristive
184	1.05	3.094e-08	3.094e-08	33936651.58371041	1.05	3.094e-08	0.0	0.0	17.340006155970922	3.094e-08	0.0	3.094	0.0	10500000.0	0.0	2.9466666666666663e-08	0.0	1.02469507659596	0.0	Memristive
185	1.1	3.47e-08	3.47e-08	31700288.184438042	1.1	3.47e-08	0.0	0.0	17.27183632979792	3.47e-08	0.0	3.47	0.0	11000000.000000002	0.0	3.1545454545454544e-08	0.0	1.0488088481701516	0.0	Memristive
